Algorithm,TestCase,Makespan,CacheHit,TotalExecutionTime,AvgExecutionTime,ResponseTime,CpuUtilization,LoadBalance
CacheAware_v2,94,220221.00,0.734,1372716.00,22878.60,95462.18,0.779,0.866
CacheAware_v2,95,226682.00,0.742,1377182.00,22953.03,95145.52,0.759,0.816
CacheAware_v2,96,199059.00,0.738,1355455.00,22590.92,95887.52,0.851,0.906
CacheAware_v2,97,203525.00,0.739,1373675.00,22894.58,98770.05,0.844,0.860
CacheAware_v2,98,215535.00,0.739,1362311.00,22705.18,92289.97,0.790,0.856
CacheAware_v2,99,196902.00,0.737,1298877.00,21647.95,86150.13,0.825,0.885
CacheAware_v2,100,193388.00,0.736,1323816.00,22063.60,87983.48,0.856,0.889
WFD,1,117420.00,0.436,764708.00,12745.13,50848.42,0.814,0.903
WFD,2,115056.00,0.435,820360.00,13672.67,53660.57,0.891,0.888
WFD,3,115116.00,0.438,818979.00,13649.65,54114.75,0.889,0.892
WFD,4,124746.00,0.435,841041.00,14017.35,61541.52,0.843,0.901
WFD,5,123391.00,0.435,796489.00,13274.82,55454.05,0.807,0.870
WFD,6,116472.00,0.437,801054.00,13350.90,54617.97,0.860,0.897
WFD,7,116515.00,0.435,827819.00,13796.98,57945.57,0.888,0.900
WFD,8,140392.00,0.436,803990.00,13399.83,57067.73,0.716,0.831
WFD,9,126064.00,0.436,821232.00,13687.20,61766.82,0.814,0.845
WFD,10,118398.00,0.437,819077.00,13651.28,57128.25,0.865,0.903
WFD,11,110502.00,0.436,808587.00,13476.45,54931.22,0.915,0.930
WFD,12,115795.00,0.435,801096.00,13351.60,56009.15,0.865,0.918
WFD,13,139129.00,0.436,816272.00,13604.53,55885.98,0.733,0.837
WFD,14,117568.00,0.434,783547.00,13059.12,57473.62,0.833,0.854
WFD,15,115957.00,0.439,823807.00,13730.12,59507.30,0.888,0.934
WFD,16,116908.00,0.434,822969.00,13716.15,57204.52,0.880,0.897
WFD,17,120866.00,0.434,850198.00,14169.97,60419.68,0.879,0.900
WFD,18,112208.00,0.436,827246.00,13787.43,57170.03,0.922,0.939
WFD,19,113600.00,0.436,811142.00,13519.03,58815.20,0.893,0.921
WFD,20,109184.00,0.436,773609.00,12893.48,53645.60,0.886,0.919
WFD,21,128119.00,0.438,944054.00,15734.23,62326.05,0.921,0.943
WFD,22,144027.00,0.436,1009844.00,16830.73,68810.50,0.876,0.916
WFD,23,140497.00,0.434,927553.00,15459.22,67692.65,0.825,0.900
WFD,24,151249.00,0.434,983612.00,16393.53,65985.35,0.813,0.907
WFD,25,149343.00,0.438,950274.00,15837.90,62550.17,0.795,0.846
WFD,26,145125.00,0.436,956289.00,15938.15,68222.08,0.824,0.893
WFD,27,128788.00,0.435,938203.00,15636.72,64110.30,0.911,0.901
WFD,28,139852.00,0.439,957103.00,15951.72,64526.75,0.855,0.900
WFD,29,153039.00,0.434,966464.00,16107.73,64777.00,0.789,0.861
WFD,30,129732.00,0.434,938791.00,15646.52,65404.65,0.905,0.882
WFD,31,165039.00,0.437,992144.00,16535.73,60786.65,0.751,0.868
WFD,32,132275.00,0.435,958203.00,15970.05,71901.87,0.906,0.874
